filepath,scan,frag_id,charge,H2O,NH3,CO,CO2,2H2O,2NH3,%H,%2H,css,rawcos,theory_mz,theory_int,obs_mz,ppm,obs_int,within,obs_idx
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c36-NH3,1,0,1,0,0,0,0,36.3182486093605,0.0,0.7314317783606299,0.4802050265645985,3692.7647230000002,1.1222630486061818,3693.2742,137.96627681866156,5.0,False,92307
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c36-NH3,1,0,1,0,0,0,0,36.3182486093605,0.0,0.7314317783606299,0.4802050265645985,3693.768023,2.1588244795055513,3693.283,-131.30846251851452,1.0,False,92308
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c36-NH3,1,0,1,0,0,0,0,36.3182486093605,0.0,0.7314317783606299,0.4802050265645985,3693.7720000000004,1.967817259718308,3694.2544,130.59820692761105,3.0,False,92309
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c36-NH3,1,0,1,0,0,0,0,36.3182486093605,0.0,0.7314317783606299,0.4802050265645985,3694.7713230000004,2.2812342824289145,3694.7534,-4.850909145247037,3.0,True,92310
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c36-NH3,1,0,1,0,0,0,0,36.3182486093605,0.0,0.7314317783606299,0.4802050265645985,3694.7753000000002,3.7853621543982254,3694.7534,-5.927288731248959,3.0,True,92310
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c36-NH3,1,0,1,0,0,0,0,36.3182486093605,0.0,0.7314317783606299,0.4802050265645985,3695.7746230000002,1.724692366086992,3695.7786,1.0760937572057665,4.0,True,92314
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c36-NH3,1,0,1,0,0,0,0,36.3182486093605,0.0,0.7314317783606299,0.4802050265645985,3695.7786,4.0,3695.7786,0.0,4.0,True,92314
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c36-NH3,1,0,1,0,0,0,0,36.3182486093605,0.0,0.7314317783606299,0.4802050265645985,3696.777923,1.0342398566666535,3696.6968,-21.944244877469234,10.0,False,92316
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c36-NH3,1,0,1,0,0,0,0,36.3182486093605,0.0,0.7314317783606299,0.4802050265645985,3696.7819000000004,3.0241389573553987,3696.6968,-23.02002181958277,10.0,False,92316
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c36-NH3,1,0,1,0,0,0,0,36.3182486093605,0.0,0.7314317783606299,0.4802050265645985,3697.7812230000004,0.5194210344679266,3696.6968,-293.2631582569541,10.0,False,92316
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c36-NH3,1,0,1,0,0,0,0,36.3182486093605,0.0,0.7314317783606299,0.4802050265645985,3697.7852000000003,1.8134741611290535,3696.6968,-294.3383515083819,10.0,False,92316
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c36-NH3,1,0,1,0,0,0,0,36.3182486093605,0.0,0.7314317783606299,0.4802050265645985,3698.7845230000003,0.22589942898777618,3696.6968,-564.434880436558,10.0,False,92316
