frag_id,charge,H2O,NH3,CO,CO2,2H2O,2NH3,%H,%2H,css,rawcos,theory_mz,theory_int,obs_mz,ppm,obs_int,within,obs_idx
b36-NH3,3,0,1,0,0,0,0,0.0,0.0,0.8829813681584234,0.7834440136122178,1228.944,0.1068707397308891,1228.9265,-14.239867723775243,3.476,True,2188
z31-CO,1,0,0,1,0,0,0,42.938223323938765,57.061776676061235,0.8689148559734867,0.5953719133968008,2878.3507,1.755313938681557,2879.354,348.5676710624087,2.688,False,26507
z31-CO,1,0,0,1,0,0,0,42.938223323938765,57.061776676061235,0.8689148559734867,0.5953719133968008,2879.354,2.688,2879.354,0.0,2.688,True,26507
z31-CO,1,0,0,1,0,0,0,42.938223323938765,57.061776676061235,0.8689148559734867,0.5953719133968008,2879.3579769999997,1.320850248505332,2879.354,-1.3812106836376863,2.688,True,26507
z31-CO,1,0,0,1,0,0,0,42.938223323938765,57.061776676061235,0.8689148559734867,0.5953719133968008,2880.3572999999997,2.1887619295288463,2880.3069,-17.49782917543832,1.719,True,26509
z31-CO,1,0,0,1,0,0,0,42.938223323938765,57.061776676061235,0.8689148559734867,0.5953719133968008,2880.361277,2.0226840280486384,2880.3069,-18.878534590135473,1.719,True,26509
z31-CO,1,0,0,1,0,0,0,42.938223323938765,57.061776676061235,0.8689148559734867,0.5953719133968008,2881.3606,1.2506473711648296,2881.3538,-2.3599961768450815,1.719,True,26510
z31-CO,1,0,0,1,0,0,0,42.938223323938765,57.061776676061235,0.8689148559734867,0.5953719133968008,2881.364577,1.6470140610338235,2881.3538,-3.7402417194920092,1.719,True,26510
z31-CO,1,0,0,1,0,0,0,42.938223323938765,57.061776676061235,0.8689148559734867,0.5953719133968008,2882.3639,0.560133622971565,2881.3538,-350.4415247498644,1.719,False,26510
z31-CO,1,0,0,1,0,0,0,42.938223323938765,57.061776676061235,0.8689148559734867,0.5953719133968008,2882.3678769999997,0.941095410110163,2881.3538,-351.8208095821822,1.719,False,26510
z31-CO,1,0,0,1,0,0,0,42.938223323938765,57.061776676061235,0.8689148559734867,0.5953719133968008,2883.3671999999997,0.20863053466215983,2885.2861,665.5066340492886,1.719,False,26511
z31-CO,1,0,0,1,0,0,0,42.938223323938765,57.061776676061235,0.8689148559734867,0.5953719133968008,2883.371177,0.4214930553413699,2885.2861,664.1264278684357,1.719,False,26511
z31-CO,1,0,0,1,0,0,0,42.938223323938765,57.061776676061235,0.8689148559734867,0.5953719133968008,2884.3705,0.06703544637347629,2885.2861,317.4349481107968,1.719,False,26511
z31-CO,1,0,0,1,0,0,0,42.938223323938765,57.061776676061235,0.8689148559734867,0.5953719133968008,2884.374477,0.15699168535133873,2885.2861,316.0557019448218,1.719,False,26511
z31-CO,1,0,0,1,0,0,0,42.938223323938765,57.061776676061235,0.8689148559734867,0.5953719133968008,2885.3777769999997,0.050443276299383,2885.2861,-31.772962532209366,1.719,False,26511
z34,2,0,0,0,0,0,0,38.09694982204375,28.347783082155914,0.8632581000073096,0.6039724384665036,1755.3419609999999,1.8363993116425845,1755.368,14.83414660995649,3.6,True,15118
z34,2,0,0,0,0,0,0,38.09694982204375,28.347783082155914,0.8632581000073096,0.6039724384665036,1755.843611,3.4069706409283453,1755.8445,0.5063093286589637,5.451,True,15129
z34,2,0,0,0,0,0,0,38.09694982204375,28.347783082155914,0.8632581000073096,0.6039724384665036,1755.8455999999999,2.46796062415624,1755.8445,-0.6264787746435398,5.451,True,15129
z34,2,0,0,0,0,0,0,38.09694982204375,28.347783082155914,0.8632581000073096,0.6039724384665036,1756.345261,3.407959091810282,1756.3519,3.7800084911380654,3.451,True,15139
z34,2,0,0,0,0,0,0,38.09694982204375,28.347783082155914,0.8632581000073096,0.6039724384665036,1756.3472499999998,4.578671608162741,1756.3519,2.6475402287806755,3.451,True,15139
z34,2,0,0,0,0,0,0,38.09694982204375,28.347783082155914,0.8632581000073096,0.6039724384665036,1756.349238,2.173745623004266,1756.3519,1.5156438948920092,3.451,True,15139
z34,2,0,0,0,0,0,0,38.09694982204375,28.347783082155914,0.8632581000073096,0.6039724384665036,1756.8469109999999,2.4131500220258677,1756.8489,1.1321419001511202,4.58,True,15149
z34,2,0,0,0,0,0,0,38.09694982204375,28.347783082155914,0.8632581000073096,0.6039724384665036,1756.8489,4.58,1756.8489,0.0,4.58,True,15149
z34,2,0,0,0,0,0,0,38.09694982204375,28.347783082155914,0.8632581000073096,0.6039724384665036,1756.850888,4.032830698350548,1756.8489,-1.1315701369773867,4.58,True,15149
z34,2,0,0,0,0,0,0,38.09694982204375,28.347783082155914,0.8632581000073096,0.6039724384665036,1757.348561,1.3461879776338908,1757.353,2.5259644549523146,6.2,True,15161
z34,2,0,0,0,0,0,0,38.09694982204375,28.347783082155914,0.8632581000073096,0.6039724384665036,1757.3505499999999,3.243063312420108,1757.353,1.3941441564864834,6.2,True,15161
z34,2,0,0,0,0,0,0,38.09694982204375,28.347783082155914,0.8632581000073096,0.6039724384665036,1757.3525379999999,4.034000727529138,1757.353,0.26289545791625574,6.2,True,15161
z34,2,0,0,0,0,0,0,38.09694982204375,28.347783082155914,0.8632581000073096,0.6039724384665036,1757.850211,0.6260975419507903,1757.8563,3.463890132317125,3.88,True,15171
z34,2,0,0,0,0,0,0,38.09694982204375,28.347783082155914,0.8632581000073096,0.6039724384665036,1757.8521999999998,1.8091593154330181,1757.8563,2.332391767696786,3.88,True,15171
z34,2,0,0,0,0,0,0,38.09694982204375,28.347783082155914,0.8632581000073096,0.6039724384665036,1757.8541879999998,2.856445362822221,1757.8563,1.20146483965636,3.88,True,15171
