filepath,scan,mz_min,mz_max,precursor_charge,reduction,charge,proton_count,h_transfer,loss_formula,loss_count,anchor_theory_mz,anchor_obs_mz,anchor_ppm,anchor_int,anchor_rel_int,shift_mz,range_min_mz,range_max_mz
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,6,0,NH3,1,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1932.1675627247473,1935.1774627247473
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,7,1,NH3,1,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1932.4193818414972,1935.4292818414972
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,8,2,NH3,1,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1932.6712009582473,1935.6811009582473
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,4,-2,CO,1,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1846.3786926836851,1849.3885926836851
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,5,-1,CO,1,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1846.630511800435,1849.640411800435
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,6,0,CO,1,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1846.882330917185,1849.892230917185
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,7,1,CO,1,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1847.134150033935,1850.144050033935
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,8,2,CO,1,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1847.385969150685,1850.395869150685
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,4,-2,CO2,1,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1924.92310445672,1927.93300445672
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,5,-1,CO2,1,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1925.1749235734699,1928.1848235734699
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,6,0,CO2,1,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1925.42674269022,1928.43664269022
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,7,1,CO2,1,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1925.6785618069698,1928.6884618069698
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,8,2,CO2,1,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1925.93038092372,1928.94028092372
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,4,-2,H2O,2,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1926.91527942465,1929.92517942465
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,5,-1,H2O,2,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1927.1670985413998,1930.1769985413998
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,6,0,H2O,2,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1927.41891765815,1930.42881765815
